MSSubClass,MSZoning,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,HouseAge,TotalBath,TotalSF
120,RH,5858,1,IR1,Lvl,AllPub,FR2,Gtl,NAmes,Norm,Norm,TwnhsE,1Story,7,5,1999,1999,Gable,CompShg,MetalSd,MetalSd,BrkFace,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,1051.0,BLQ,0.0,354.0,1405.0,GasA,Ex,1,SBrkr,1337,0,0,1337,1.0,0.0,2,0,2,1,Gd,5,Typ,1,Attchd,1999.0,Fin,2.0,511.0,TA,TA,Y,203,68,0,0,0,0,0,6,2010,WD,Normal,163000.0,26,2.0,2742.0
160,RM,1680,1,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,6,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,504.0,TA,TA,CBlock,TA,TA,No,Rec,156.0,Unf,0.0,327.0,483.0,GasA,TA,1,SBrkr,483,504,0,987,0.0,0.0,1,1,2,1,TA,5,Typ,0,Detchd,1971.0,Unf,1.0,264.0,TA,TA,Y,275,0,0,0,0,0,0,2,2010,COD,Normal,163000.0,54,1.5,1470.0
160,RM,1680,1,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,5,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,492.0,TA,TA,CBlock,TA,TA,No,Rec,300.0,Unf,0.0,225.0,525.0,GasA,TA,1,SBrkr,525,567,0,1092,0.0,0.0,1,1,3,1,TA,6,Typ,0,Detchd,1997.0,Unf,1.0,320.0,TA,TA,Y,0,0,0,0,0,0,0,3,2010,WD,Normal,163000.0,54,1.5,1617.0
160,RL,2280,1,Reg,Lvl,AllPub,FR2,Gtl,NPkVill,Norm,Norm,Twnhs,2Story,6,6,1975,1975,Gable,CompShg,Plywood,Brk Cmn,BrkFace,0.0,TA,TA,CBlock,TA,TA,No,ALQ,514.0,Unf,0.0,341.0,855.0,GasA,TA,1,SBrkr,855,601,0,1456,0.0,0.0,2,1,3,1,Gd,6,Typ,1,Attchd,1975.0,Unf,2.0,440.0,TA,TA,Y,173,0,0,0,0,0,0,6,2010,WD,Normal,163000.0,50,2.5,2311.0
120,RL,2280,1,Reg,Lvl,AllPub,FR2,Gtl,NPkVill,Norm,Norm,Twnhs,1Story,7,6,1975,1975,Gable,CompShg,Plywood,Brk Cmn,BrkFace,0.0,TA,TA,CBlock,Gd,TA,No,Unf,0.0,Unf,0.0,836.0,836.0,GasA,Ex,1,SBrkr,836,0,0,836,0.0,0.0,1,0,2,1,TA,4,Typ,0,Attchd,1975.0,Unf,1.0,308.0,TA,TA,Y,0,30,0,0,0,0,0,6,2010,WD,Normal,163000.0,50,1.0,1672.0
60,RL,12858,1,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,2009,2010,Gable,CompShg,VinylSd,VinylSd,Stone,162.0,Ex,TA,PConc,Ex,TA,No,Unf,0.0,Unf,0.0,1590.0,1590.0,GasA,Ex,1,SBrkr,1627,707,0,2334,0.0,0.0,2,1,3,1,Ex,10,Typ,1,Attchd,2009.0,Fin,3.0,751.0,TA,TA,Y,144,133,0,0,0,0,0,1,2010,New,Partial,163000.0,16,2.5,3924.0
20,RL,12883,1,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2009,2010,Gable,CompShg,VinylSd,VinylSd,Stone,256.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,1544.0,1544.0,GasA,Ex,1,SBrkr,1544,0,0,1544,0.0,0.0,2,0,3,1,Gd,7,Typ,0,Attchd,2009.0,RFn,3.0,868.0,TA,TA,Y,0,35,0,0,0,0,0,6,2010,New,Partial,163000.0,16,2.0,3088.0
20,RL,11520,1,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,PosN,Norm,1Fam,1Story,9,5,2005,2005,Hip,CompShg,VinylSd,VinylSd,BrkFace,615.0,Gd,TA,PConc,Ex,TA,No,GLQ,110.0,Unf,0.0,1588.0,1698.0,GasA,Ex,1,SBrkr,1698,0,0,1698,0.0,0.0,2,0,3,1,Ex,7,Typ,1,Attchd,2005.0,Fin,3.0,730.0,TA,TA,Y,192,74,0,0,0,0,0,6,2010,WD,Normal,163000.0,20,2.0,3396.0
20,RL,14122,1,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2005,2006,Hip,CompShg,CemntBd,CmentBd,BrkFace,240.0,Gd,TA,PConc,Ex,TA,No,GLQ,28.0,Unf,0.0,1794.0,1822.0,GasA,Ex,1,SBrkr,1822,0,0,1822,0.0,0.0,2,0,3,1,Ex,8,Typ,1,Attchd,2005.0,RFn,3.0,678.0,TA,TA,Y,0,119,0,0,0,0,0,2,2010,WD,Normal,163000.0,20,2.0,3644.0
20,RL,14300,1,Reg,HLS,AllPub,Inside,Mod,NridgHt,Norm,Norm,1Fam,1Story,9,5,2003,2004,Hip,CompShg,VinylSd,VinylSd,BrkFace,1095.0,Ex,TA,PConc,Ex,TA,Gd,GLQ,1373.0,Unf,0.0,1473.0,2846.0,GasA,Ex,1,SBrkr,2696,0,0,2696,1.0,0.0,2,1,3,1,Ex,10,Typ,2,Attchd,2003.0,Fin,3.0,958.0,TA,TA,Y,220,150,0,0,0,0,0,6,2010,WD,Normal,163000.0,22,2.5,5542.0
60,RL,13650,1,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2002,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,232.0,Gd,TA,PConc,Gd,TA,Gd,GLQ,578.0,Unf,0.0,1093.0,1671.0,GasA,Ex,1,SBrkr,1687,563,0,2250,1.0,0.0,2,1,3,1,Gd,7,Typ,1,Attchd,2002.0,Fin,3.0,756.0,TA,TA,Y,238,130,0,0,0,0,0,6,2010,WD,Normal,163000.0,23,2.5,3921.0
120,RL,7132,1,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,8,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,Stone,178.0,Gd,TA,PConc,Gd,TA,Mn,GLQ,24.0,Unf,0.0,1346.0,1370.0,GasA,Ex,1,SBrkr,1370,0,0,1370,0.0,0.0,2,0,2,1,Gd,6,Typ,1,Attchd,2006.0,RFn,2.0,484.0,TA,TA,Y,120,49,0,0,0,0,0,4,2010,WD,Normal,163000.0,19,2.0,2740.0
20,RL,18494,1,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,1Story,6,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,BrkFace,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,1324.0,1324.0,GasA,Ex,1,SBrkr,1324,0,0,1324,0.0,0.0,2,0,3,1,Gd,6,Typ,0,Attchd,2005.0,Fin,2.0,430.0,TA,TA,Y,36,23,0,0,0,0,0,1,2010,WD,Normal,163000.0,20,2.0,2648.0
120,RL,3203,1,Reg,Lvl,AllPub,Inside,Gtl,Blmngtn,Norm,Norm,TwnhsE,1Story,7,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,14.0,Gd,TA,PConc,Gd,TA,Av,GLQ,16.0,Unf,0.0,1129.0,1145.0,GasA,Ex,1,SBrkr,1145,0,0,1145,0.0,0.0,2,0,2,1,Gd,6,Typ,0,Attchd,2006.0,Fin,2.0,437.0,TA,TA,Y,100,116,0,0,0,0,0,1,2010,WD,Normal,163000.0,19,2.0,2290.0
80,RL,13300,1,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,SLvl,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,BrkFace,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,326.0,Unf,0.0,58.0,384.0,GasA,Ex,1,SBrkr,744,630,0,1374,1.0,0.0,2,1,3,1,Gd,7,Typ,1,BuiltIn,2004.0,Fin,2.0,400.0,TA,TA,Y,100,0,0,0,0,0,0,6,2010,WD,Normal,163000.0,21,2.5,1758.0
60,RL,8577,1,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,BrkFace,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,847.0,847.0,GasA,Ex,1,SBrkr,847,886,0,1733,0.0,0.0,2,1,3,1,Gd,7,Typ,1,BuiltIn,2004.0,Fin,2.0,433.0,TA,TA,Y,144,48,0,0,0,0,0,4,2010,WD,Normal,163000.0,21,2.5,2580.0
60,RL,17433,1,IR2,Lvl,AllPub,CulDSac,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,1998,1998,Hip,CompShg,VinylSd,VinylSd,BrkFace,114.0,Gd,TA,PConc,Ex,TA,No,Unf,0.0,Unf,0.0,1629.0,1629.0,GasA,Ex,1,SBrkr,1645,830,0,2475,0.0,0.0,2,1,4,1,Gd,7,Typ,1,Attchd,1998.0,Fin,3.0,962.0,TA,TA,Y,23,172,0,0,256,0,0,1,2010,WD,Normal,163000.0,27,2.5,4104.0
20,RL,8987,1,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,226.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,1595.0,1595.0,GasA,Ex,1,SBrkr,1595,0,0,1595,0.0,0.0,2,0,2,1,Gd,6,Typ,1,Attchd,2005.0,RFn,3.0,880.0,TA,TA,Y,144,0,0,0,0,0,0,5,2010,WD,Normal,163000.0,20,2.0,3190.0
20,FV,9215,1,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,7,5,2009,2010,Hip,CompShg,VinylSd,VinylSd,BrkFace,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,1218.0,1218.0,GasA,Ex,1,SBrkr,1218,0,0,1218,0.0,0.0,2,0,2,1,Gd,4,Typ,0,Attchd,2009.0,RFn,2.0,676.0,TA,TA,Y,0,136,0,0,0,0,0,4,2010,New,Partial,163000.0,16,2.0,2436.0
20,FV,10440,1,Reg,Lvl,AllPub,Corner,Gtl,Somerst,Norm,Norm,1Fam,1Story,6,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,BrkFace,0.0,Gd,TA,PConc,Ex,TA,No,GLQ,1414.0,Unf,0.0,54.0,1468.0,GasA,Ex,1,SBrkr,1468,0,0,1468,1.0,0.0,2,0,2,1,Gd,6,Typ,1,Attchd,2005.0,Fin,2.0,528.0,TA,TA,Y,0,102,0,0,216,0,0,5,2010,WD,Normal,163000.0,20,2.0,2936.0
60,RL,11920,1,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,2Story,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,BrkFace,122.0,Gd,TA,PConc,Gd,TA,Av,Unf,0.0,Unf,0.0,831.0,831.0,GasA,Ex,1,SBrkr,831,828,0,1659,0.0,0.0,2,1,3,1,Gd,8,Typ,0,Attchd,2004.0,RFn,2.0,484.0,TA,TA,Y,144,68,0,0,0,0,0,4,2010,WD,Normal,163000.0,21,2.5,2490.0
30,RH,9800,1,Reg,Lvl,AllPub,Corner,Gtl,SawyerW,Feedr,Norm,1Fam,1Story,5,5,1920,1950,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,0.0,TA,Fa,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,816.0,816.0,GasA,TA,0,FuseA,1012,0,0,1012,0.0,0.0,1,0,2,1,TA,5,Typ,0,Detchd,1920.0,Unf,1.0,429.0,TA,TA,Y,121,0,80,0,0,0,0,4,2010,WD,Normal,163000.0,105,1.0,1828.0
20,RL,15410,1,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,Other,Norm,1Fam,1Story,6,6,1974,2002,Hip,CompShg,Plywood,Plywood,BrkCmn,250.0,TA,Gd,CBlock,TA,TA,Gd,BLQ,126.0,GLQ,859.0,223.0,1208.0,GasA,Ex,1,SBrkr,1494,0,0,1494,1.0,0.0,2,0,3,1,TA,7,Typ,2,Attchd,1974.0,Fin,2.0,461.0,TA,TA,Y,296,0,186,0,0,0,0,4,2010,WD,Abnorml,163000.0,51,2.0,2702.0
60,RL,13143,1,IR1,Lvl,AllPub,Inside,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,1993,1993,Gable,CompShg,HdBoard,ImStucc,BrkFace,504.0,Gd,TA,PConc,Gd,TA,No,LwQ,250.0,GLQ,981.0,0.0,1231.0,GasA,Ex,1,SBrkr,1251,1098,0,2349,1.0,0.0,2,1,4,1,Gd,9,Typ,1,Attchd,1993.0,RFn,3.0,762.0,TA,TA,Y,32,130,0,0,0,0,0,6,2010,WD,Normal,163000.0,32,2.5,3580.0
60,RL,11134,1,Reg,Lvl,AllPub,Inside,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,1992,1993,Gable,CompShg,HdBoard,HdBoard,BrkFace,180.0,Gd,TA,PConc,Gd,TA,No,GLQ,1129.0,Unf,0.0,261.0,1390.0,GasA,Ex,1,SBrkr,1402,823,0,2225,1.0,0.0,2,1,4,1,Gd,7,Typ,1,Attchd,1992.0,RFn,3.0,713.0,TA,TA,Y,198,30,0,0,0,0,0,6,2010,WD,Normal,163000.0,33,2.5,3615.0
120,FV,4835,1,IR1,Lvl,AllPub,CulDSac,Gtl,Somerst,Norm,Norm,TwnhsE,1Story,7,5,2004,2005,Gable,CompShg,MetalSd,MetalSd,BrkFace,0.0,Gd,TA,PConc,Ex,TA,Av,GLQ,1298.0,Unf,0.0,190.0,1488.0,GasA,Ex,1,SBrkr,1488,0,0,1488,1.0,0.0,2,0,2,1,Gd,6,Typ,1,Attchd,2004.0,Fin,2.0,506.0,TA,TA,Y,168,50,0,0,0,0,0,3,2010,WD,Normal,163000.0,21,2.0,2976.0
160,FV,3515,1,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,TwnhsE,2Story,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,BrkFace,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,840.0,840.0,GasA,Ex,1,SBrkr,840,840,0,1680,0.0,0.0,2,1,2,1,Gd,3,Typ,0,Attchd,2004.0,RFn,2.0,588.0,TA,TA,Y,0,111,0,0,0,0,0,1,2010,WD,Normal,163000.0,21,2.5,2520.0
160,FV,3215,1,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,TwnhsE,2Story,7,5,2004,2004,Gable,CompShg,MetalSd,MetalSd,BrkFace,120.0,Gd,TA,PConc,Gd,TA,Av,GLQ,280.0,Unf,0.0,320.0,600.0,GasA,Ex,1,SBrkr,600,600,0,1200,0.0,0.0,2,1,2,1,Gd,4,Typ,0,Detchd,2004.0,RFn,2.0,480.0,TA,TA,Y,0,172,0,0,0,0,0,4,2010,ConLD,Normal,163000.0,21,2.5,1800.0
160,FV,2544,1,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,Twnhs,2Story,7,5,2004,2005,Gable,CompShg,MetalSd,MetalSd,BrkFace,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,368.0,ALQ,42.0,190.0,600.0,GasA,Ex,1,SBrkr,600,600,0,1200,1.0,0.0,2,1,2,1,Gd,4,Typ,0,Detchd,2004.0,RFn,2.0,480.0,TA,TA,Y,0,172,0,0,0,0,0,2,2010,WD,Normal,163000.0,21,2.5,1800.0
160,FV,2544,1,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,Twnhs,2Story,6,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,BrkFace,216.0,Gd,TA,PConc,Gd,TA,No,GLQ,376.0,Unf,0.0,224.0,600.0,GasA,Ex,1,SBrkr,600,636,0,1236,1.0,0.0,2,1,2,1,Gd,4,Typ,0,Detchd,2005.0,RFn,2.0,480.0,TA,TA,Y,0,166,0,0,0,0,0,5,2010,WD,Normal,163000.0,20,2.5,1836.0
160,FV,2980,1,Reg,Lvl,AllPub,Corner,Gtl,Somerst,Norm,Norm,TwnhsE,2Story,6,5,2000,2000,Gable,CompShg,MetalSd,MetalSd,BrkFace,1159.0,Gd,TA,PConc,Gd,TA,No,GLQ,466.0,Unf,0.0,290.0,756.0,GasA,Ex,1,SBrkr,756,756,0,1512,1.0,0.0,2,1,2,1,Gd,5,Typ,0,Detchd,2000.0,Unf,2.0,440.0,TA,TA,Y,0,32,0,0,0,0,0,5,2010,WD,Normal,163000.0,25,2.5,2268.0
160,FV,2403,1,IR1,Lvl,AllPub,FR2,Gtl,Somerst,Norm,Norm,TwnhsE,2Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,244.0,Unf,0.0,286.0,530.0,GasA,Ex,1,SBrkr,530,550,0,1080,0.0,0.0,2,1,2,1,Gd,4,Typ,0,Attchd,2003.0,RFn,2.0,496.0,TA,TA,Y,0,50,0,0,0,0,0,6,2010,WD,Normal,163000.0,22,2.5,1610.0
20,FV,12853,1,IR1,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2010,2010,Gable,CompShg,CemntBd,CmentBd,BrkFace,0.0,Gd,TA,PConc,Ex,Other,No,GLQ,1032.0,Unf,0.0,610.0,1642.0,GasA,Ex,1,SBrkr,1418,0,0,1418,1.0,0.0,1,1,1,1,Gd,6,Typ,1,Attchd,2010.0,RFn,3.0,852.0,TA,TA,Y,160,192,0,224,0,0,0,4,2010,New,Partial,163000.0,15,1.5,3060.0
60,FV,7379,1,IR1,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,8,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,BrkFace,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,484.0,Unf,0.0,491.0,975.0,GasA,Ex,1,SBrkr,975,873,0,1848,1.0,0.0,2,1,3,1,Gd,7,Typ,1,Attchd,2000.0,RFn,2.0,592.0,TA,TA,Y,280,184,0,0,0,0,0,4,2010,WD,Normal,163000.0,25,2.5,2823.0
20,FV,8000,1,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,7,5,2002,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,833.0,Unf,0.0,659.0,1492.0,GasA,Ex,1,SBrkr,1492,0,0,1492,1.0,0.0,2,0,3,1,Gd,6,Typ,1,Attchd,2002.0,RFn,2.0,596.0,TA,TA,Y,277,137,0,0,0,0,0,4,2010,WD,Normal,163000.0,23,2.0,2984.0
20,RL,10456,1,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,6,1967,1967,Hip,CompShg,HdBoard,HdBoard,BrkFace,120.0,TA,TA,CBlock,TA,TA,No,GLQ,506.0,Unf,0.0,1323.0,1829.0,GasA,Gd,1,SBrkr,1829,0,0,1829,1.0,0.0,2,0,4,1,TA,8,Typ,0,Attchd,1967.0,RFn,2.0,535.0,TA,TA,Y,0,76,0,0,0,0,0,5,2010,WD,Normal,163000.0,58,2.0,3658.0
60,RL,10791,1,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,2Story,6,5,1993,1993,Gable,CompShg,MetalSd,MetalSd,BrkFace,0.0,TA,TA,PConc,Gd,TA,Mn,GLQ,1137.0,Unf,0.0,143.0,1280.0,GasA,Ex,1,SBrkr,1280,1215,0,2495,1.0,0.0,2,1,4,1,Gd,9,Typ,1,Attchd,1993.0,Unf,2.0,660.0,TA,TA,Y,224,32,0,0,0,0,0,3,2010,WD,Normal,163000.0,32,2.5,3775.0
50,RL,18837,1,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1.5Fin,6,5,1978,1978,Gable,CompShg,MetalSd,MetalSd,BrkFace,0.0,TA,TA,PConc,Gd,TA,Mn,ALQ,687.0,LwQ,46.0,491.0,1224.0,GasA,TA,1,SBrkr,1287,604,0,1891,0.0,1.0,3,0,3,1,TA,7,Typ,1,Attchd,1978.0,RFn,2.0,678.0,TA,TA,Y,0,69,0,0,0,0,0,4,2010,WD,Normal,163000.0,47,3.0,3115.0
